,Symbol,LTP,2_day_rise,5_day_rise,1_month_rise,2_month_rise,3_month_rise,6_month_rise,1_year_rise,P/E Ratio (TTM),ROE,Debt-to-Equity,Price-to-Book Ratio,10_day_rise
856,RAJESHEXPO.NS,295.29998779296875,0.5618913437015157,-3.085009529857047,3.7232086868437837,4.660639440349896,0.9400102938804821,-15.507871876117669,-43.40201479770604,25.960527,0.02239,4.296,0.60069907,-6.358020587437481
109,GODREJPROP.NS,2977.800048828125,5.027777050634865,-0.7912578372388811,-10.090578235865792,4.653129648852426,7.993042514328011,31.947890127634007,90.83568330154974,73.30713,,103.668,8.175403,-4.858061698928834
1673,NIF100IETF.NS,27.959999084472656,0.5032328942637757,-1.7223257129226521,0.1074070138528278,4.640717825536857,11.541068792459662,14.482245015613815,30.880484698489738,,,,,-2.0322418095618713
1792,NIF100BEES.NS,265.70001220703125,0.1961005903962728,-1.6836217550300647,-0.2103198144876082,4.6227772809879255,10.30388858398339,13.921887010375768,30.404913966641104,,,,,-2.020790846211794
2378,IDFNIFTYET.NS,263.6199951171875,1.7523578741021444,-1.6306560977765063,-0.09095362984093293,4.619414075327855,10.932501175839823,11.964323012982575,25.754896234704816,29.79173,,,,-1.9124923581152955
2121,MRO-TEK.NS,85.69000244140625,1.1449494885820242,6.196554528091375,6.1834023319287805,4.614819448537589,13.421573765790221,5.85547334386526,45.48387134380059,25.225904,,168.96,2.2628407,8.317534800010725
2164,PULZ.NS,113.6500015258789,4.9884540654770495,1.1571010853705153,-5.212677164687956,4.601932747151476,-11.659536014183498,-30.911853175757503,60.63604455954616,,,,,0.932507163398528
1479,LUMAXIND.NS,2772.0,-0.9876199992221405,-4.573389097201223,-6.329201018406205,4.593906235260825,12.859561110453969,16.33372264547694,34.341384665734154,21.256416,,107.6,3.8625112,-4.895871052335988
1194,DSSL.NS,1248.449951171875,1.7647458006242023,-5.820007983929004,-5.798694244688472,4.590954269423538,1.9642213556244912,73.49221699949601,116.44417087262181,30.416664,0.41015,22.685,10.391061,-4.538162979075555
1195,KOPRAN.NS,249.1000061035156,2.132026378499285,-2.543035933014634,-7.500921873409963,4.589162370827711,3.339557332438325,-8.132025922665775,36.41839965892513,22.394136,,20.199,2.7004204,-4.155439802461214
1777,BSE500IETF.NS,38.38999938964844,-0.8778728546513649,-2.2657826306184417,-0.7240723882985167,4.576410643078376,12.44874070293229,14.631225636313456,22.144444851712294,,,,,-2.538715449340161
2152,SENSEXADD.NS,80.54000091552734,0.8893887864054381,-2.0194599687881643,-0.18589852688111042,4.55666907938968,6.492137829460884,12.172698457225982,22.62484857080695,,,,,-1.8762193971402785
2021,PPAP.NS,206.1300048828125,2.34347904020773,-3.8931326981812333,-7.286464631324174,4.544305318798957,8.204726972604988,-14.751860098740393,0.03882641585527752,,-0.04514,,1.0179988,-2.2107256282297523
1874,KILITCH.NS,343.45001220703125,-0.39152425572244437,-7.587779403356499,-1.9834422975207864,4.535085974025829,4.854228364103091,-21.56884745510644,74.25164970652189,36.965065,0.08322,18.014,3.081852,-4.927332261029412
848,BBL.NS,4570.5,-1.3649851632047478,-6.16434840630293,-15.002234732040101,4.533087943786734,44.65896502611173,53.97832580773206,144.7029187272598,84.41232,,8.494,2.9723227,-5.9625911226299975
2435,NAVINIFTY.NS,245.7400054931641,0.29795151328316816,-1.0190513295034633,-1.1663424644478506,4.525733353219759,7.846925671429239,12.828283769475723,25.147690328642888,,,,,-1.7039978027343636
1246,NITCO.NS,74.97000122070312,-4.056818778738379,-6.811679223635818,-2.293760014636346,4.516935329902428,-3.5755611309284565,43.75838739621135,299.8400065104167,,,,,3.5068354339711876
126,BEML.NS,4072.60009765625,-2.6008345979198695,-8.25720718496061,-21.7153902974477,4.51273747754539,27.183305649600953,25.42076036331741,98.87199483404466,59.098835,,2.658,6.347135,-12.243572895717943
2127,INDIANCARD.NS,275.8500061035156,5.933184550370236,0.23618963214121833,-3.750872216003115,4.508427105944031,6.608698011020532,-7.308467592045208,22.4095844829055,20.939596,0.03287,10.142,0.6781806,-1.022607096765575
2015,HDFCSENSEX.NS,88.33999633789062,-0.43954356394430655,-1.9860212693609598,-0.5963839229337601,4.507272700359835,9.53502128520625,11.964505233774217,21.9912935455734,,,,,-2.289577746235935
1130,MAHLOG.NS,490.8999938964844,1.2686939446074008,-4.596248072597379,-5.795429496133737,4.502393591587945,14.096454130501888,26.79839897601562,32.72948108566169,,,146.615,7.2662516,-7.490818560023556
1990,SBIETFCON.NS,119.08999633789062,0.025196354705195836,-0.7169659293302546,3.872651332681857,4.501577127615952,13.863658578929478,19.72453491144012,41.841350210203636,60.601234,,,,-0.55945706946273
2357,SAHAJ.NS,20.899999618530277,4.499998092651385,1.9512176513672048,3.9800956312322913,4.499998092651385,-2.7906994486963863,-20.833333634366895,-31.136740178458687,,,,,0.9661780107220803
1079,ESG.NS,40.880001068115234,0.8884516443350287,-1.7071389321177421,-0.0489008729034322,4.498983088662557,11.177591947741657,13.053100776052478,29.490026808005812,,,,,-2.2009525974575315
631,HATHWAY.NS,21.90999984741211,0.5968739975582785,-5.028174524303772,-4.904518329917656,4.482596875713739,7.139359559920124,-12.88270306267109,32.38671212956234,40.433964,,0.458,0.8843313,-8.973825819684473
2274,PARTYCRUS.NS,119.0,2.8966696324439454,0.6768215502645962,1.2335150239032844,4.477610540648094,2.1459227467811157,5.777777777777778,80.3030303030303,,,,,-0.04200172236539895
2140,UTISENSETF.NS,863.9299926757812,0.523602857516007,-1.7937762333876748,-0.41382639877389354,4.471851976887312,10.355620269416667,12.054631528115326,22.26058711150475,29.53486,,,,-2.1796236508571756
1572,MAZDA.NS,1425.300048828125,3.9492413995472586,0.4970949288295434,-0.01753709034667094,4.467334212837268,0.5857479765790402,-7.91148125807624,55.872704590252155,16.181887,,,2.404463,-1.821935675693129
2462,IVZINNIFTY.NS,2710.0,-0.9553565827913394,-3.46252325671702,-0.9137141387575419,4.417914732807344,9.488318159391783,10.72885269005386,24.769797421731123,29.122389,,,,-3.0910709050587304
414,POWERINDIA.NS,10940.2998046875,-5.59958750835904,-9.130324786496718,-20.46975720661312,4.415087287780549,22.189523075639407,76.72438264635245,154.38120803784224,280.405,,15.713,35.603046,-8.049638518260977
2086,ALKALI.NS,127.66999816894533,3.468675581868875,1.0927209148894008,-11.94565602319074,4.407915802630043,13.991069793701184,-1.6788662549868572,21.35931736933247,,,,2.4747992,-2.7942730860930673
1470,ADVANIHOTR.NS,73.4000015258789,0.286923182767722,-5.1066542031849345,4.3651352408591,4.3651352408591,-4.613379549255948,-2.684788125880908,60.52488567587597,28.296297,0.37080002,2.748,9.789852,5.323574335632917
373,MSUMI.NS,71.56999969482422,2.1552985852841324,-1.9857532387052932,-0.4728187317063234,4.34466178165893,4.405538305791461,3.79985911899134,18.493373984700032,47.353333,,15.452,18.7266,-5.066984647500516
2402,NORBTEAEXP.NS,12.520000457763672,-2.7194982976505746,-1.0276613809234534,-3.692304171048678,4.333337148030599,3.045274492594243,5.210091253011102,63.6601346625517,,,79.646,1.3042698,-4.134762209057233
3,ICICIBANK.NS,1172.449951171875,-0.012794168274439386,-2.014132018953416,-5.068628410293817,4.329053232777583,5.086493007406934,16.003753538266604,19.649956318038576,18.538181,0.18274,,3.0319488,-3.319040291962162
2138,HDFCNIF100.NS,25.82999992370605,0.7017555861706013,-1.7497184321116088,-0.15462278403440766,4.321484995691104,11.769793342783968,13.838692444873702,-86.91157885743489,3.1562192,,,,-2.0106247131017776
1376,MAWANASUG.NS,106.86000061035156,0.21570230034516422,-6.30425449278006,-8.72127710864259,4.314718921910885,17.042713076113294,2.209466753865318,3.3462273050418565,10.924194,0.09477,138.485,1.0030607,-7.7679958161470015
766,PRAKASH.NS,179.4600067138672,2.4490543984503055,-5.760639806666976,-13.76261343087225,4.2947632214160425,15.96769416081886,-11.092394705287278,102.3224497049136,9.588689,0.11649,11.981,1.1045372,-6.472794378200385
1062,GATEWAY.NS,104.29000091552734,1.380381190854473,-4.00404869160518,-1.389940611772697,4.290000915527344,3.257426649036974,-6.42440217924814,35.1782227516155,20.492723,,26.203,2.5486748,-6.817367207154845
1458,UGARSUGAR.NS,77.18000030517578,-1.266467809849366,-5.184276586728921,-4.657191828527019,4.283202374606456,4.297297709697002,-13.957633298795509,-39.15648306379647,40.537235,0.09277,240.715,3.6488557,-9.157249132690671
585,EMBASSY.NS,369.7000122070313,1.013694929274011,0.07579415546518704,4.152586518703081,4.281852550992272,4.778374346482819,1.8709896328026907,21.54387213940987,,,,,-0.5674902142000443
